Date,Open,High,Low,Close,Adj Close,Volume
2009-10-26,51.200001,51.750000,49.000000,49.430000,44.660496,9974805
2009-10-27,49.119999,50.259998,46.200001,46.970001,42.437862,18557355
2009-10-28,46.880001,48.580002,44.310001,47.669998,43.070316,18261085
2009-10-29,46.419998,47.599998,45.000000,46.740002,42.230057,15698870
2009-10-30,47.000000,49.540001,46.900002,47.650002,43.052254,15430510
2009-11-03,47.529999,47.529999,43.000000,43.619999,39.411095,8936705
2009-11-04,44.400002,45.500000,42.799999,45.230000,40.865749,10619860
2009-11-05,45.000000,49.000000,44.000000,48.160000,43.513039,17279100
2009-11-06,49.560001,51.360001,49.009998,50.830002,45.925407,18552890
2009-11-09,51.599998,53.889999,51.049999,53.369999,48.220322,21362035
2009-11-10,54.220001,54.869999,52.820000,54.000000,48.789539,19555960
2009-11-11,54.220001,54.950001,53.459999,54.689999,49.412952,16623160
2009-11-12,54.290001,54.900002,52.820000,53.250000,48.111900,13027760
2009-11-13,53.180000,53.779999,52.200001,52.639999,47.560764,10334170
2009-11-16,53.000000,54.000000,52.349998,52.500000,47.434269,9099220
2009-11-17,53.139999,53.139999,51.439999,52.169998,47.136105,9831545
2009-11-18,52.099998,52.650002,50.400002,51.779999,46.783741,6831900
2009-11-19,51.939999,51.939999,49.480000,49.930000,45.112251,8035675
2009-11-20,49.740002,52.160000,48.910000,51.900002,46.892166,14328360
2009-11-23,52.000000,52.400002,50.639999,50.980000,46.060940,8718025
2009-11-24,51.200001,51.959999,50.459999,50.810001,45.907333,9239895
2009-11-25,50.770000,51.369999,50.000000,50.459999,45.591110,8473050
2009-11-26,50.299999,50.959999,49.730000,49.970001,45.148392,18485445
2009-11-27,48.709999,49.970001,47.000000,49.770000,44.967686,8888745
2009-11-30,50.580002,50.980000,49.799999,50.509998,45.636292,6541225
2009-12-01,50.939999,54.500000,50.509998,54.060001,48.843746,16603860
2009-12-02,54.560001,55.680000,54.009998,54.299999,49.060585,18070505
2009-12-03,54.599998,55.520000,53.279999,53.570000,48.401031,8524635
2009-12-04,53.380001,54.340000,52.669998,52.860001,47.759537,5728880
2009-12-07,53.500000,54.869999,53.040001,53.860001,48.663048,10119055
2009-12-08,53.980000,54.560001,53.419998,54.369999,49.123833,9025155
2009-12-09,54.200001,54.880001,52.799999,52.950001,47.840851,5541250
2009-12-10,53.240002,53.480000,51.480000,51.680000,46.693394,14613595
2009-12-11,52.599998,52.680000,50.799999,51.200001,46.259705,9155375
2009-12-14,51.439999,51.570000,49.709999,49.950001,45.130322,6932775
2009-12-15,50.570000,50.689999,49.299999,49.509998,44.732777,13878710
2009-12-16,49.779999,49.990002,48.599998,49.369999,44.606281,6911265
2009-12-17,49.299999,50.680000,49.000000,50.410000,45.545937,8535025
2009-12-18,50.389999,50.980000,49.900002,50.150002,45.311020,7639980
2009-12-21,50.000000,50.380001,49.200001,49.740002,44.940582,3655065
2009-12-22,50.279999,51.980000,50.009998,51.820000,46.819881,9168355
2009-12-23,51.820000,53.759998,51.820000,53.610001,48.437164,10158930
2009-12-24,53.610001,54.880001,53.049999,54.200001,48.970238,8809635
2009-12-29,55.000000,55.139999,53.810001,54.540001,49.277431,4382305
2009-12-30,54.279999,54.900002,54.020000,54.389999,49.141903,4853095
2009-12-31,54.599998,54.830002,52.880001,53.230000,48.093826,7716935
2010-01-04,53.759998,53.900002,53.230000,53.689999,48.509445,2802145
2010-01-05,53.990002,55.759998,52.000000,54.480000,49.223225,18410675
